tube.ID,Timepoint,Date,Year,Time,Treatment,Temp,Cone,Culture,Family,ReefMom,Mom,Dad,Species,tube.ID,Replicate,CrossType,Lifestage,SymbiontTreatment,Dataform,Cumulative.hrs,Mom2,Dad2,Cross,Cross_2,No.LarvaeInStart,No.LarvaeInExpected,No.LarvaeInObserved,Percent_Survival_atend,"Alive, Dead, Sampled",Infected? (Y or N),No.Cells1,No.Cells2,No.Cells3,PAM(EffectiveQuant),Area (mm^2),MicroscopeImageName,PAM File Name,Date Sampled,Settlement
41,0,2024-04-10,2024,15:00,Ambient,27.5,2,T.T.12xT.T.6,F1,TT12,TT12,TT6,A.ten,41,A,IndivCross,larvae,D,,0,TantMom,TantDad,TantMomTantDad,TxT,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
42,0,2024-04-10,2024,15:00,Ambient,27.5,9,B.T.8xB.T.2,F7,BT8,BT8,BT2,A.ten,42,A,IndivCross,larvae,D,,0,BruMom,BruDad,BruMomBruDad,BxB,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
1,0,2024-04-10,2024,15:00,31,27.5,2,T.T.12xT.T.6,F1,TT12,TT12,TT6,A.ten,1,C,IndivCross,larvae,D,,0,TantMom,TantDad,TantMomTantDad,TxT,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
2,0,2024-04-10,2024,15:00,31,27.5,13,T.T.2xT.T.4,F3,TT2,TT2,TT4,A.ten,2,C,IndivCross,larvae,C,,0,TantMom,TantDad,TantMomTantDad,TxT,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
3,0,2024-04-10,2024,15:00,31,27.5,7,B.T.4xB.T.2,F6,BT4,BT4,BT2,A.ten,3,A,IndivCross,larvae,D,,0,BruMom,BruDad,BruMomBruDad,BxB,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
4,0,2024-04-10,2024,15:00,31,27.5,18,Bulk1,F4,Bulk,Bulk,Bulk,A.ten,4,B,BulkCross,larvae,D,,0,TantMom,TantDad,TantMomTantDad,TxT,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
5,0,2024-04-10,2024,15:00,31,27.5,13,T.T.2xT.T.4,F3,TT2,TT2,TT4,A.ten,5,B,IndivCross,larvae,D,,0,TantMom,TantDad,TantMomTantDad,TxT,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
6,0,2024-04-10,2024,15:00,31,27.5,7,B.T.4xB.T.2,F6,BT4,BT4,BT2,A.ten,6,A,IndivCross,larvae,C,,0,BruMom,BruDad,BruMomBruDad,BxB,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
7,0,2024-04-10,2024,15:00,31,27.5,18,Bulk1,F4,Bulk,Bulk,Bulk,A.ten,7,A,BulkCross,larvae,D,,0,TantMom,TantDad,TantMomTantDad,TxT,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
8,0,2024-04-10,2024,15:00,31,27.5,18,Bulk1,F4,Bulk,Bulk,Bulk,A.ten,8,C,BulkCross,larvae,D,,0,TantMom,TantDad,TantMomTantDad,TxT,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
